perimeter,dimA,dimB,Roundness,AspectRatio,area,meanH,meanS,meanV,SeedType
1.756064831,5.423728814,5.287356322,2.988933193,1.025792189,2.378517461,1.255007657,0.543215926,3.090413476,Black_Mouldy
1.855519967,5.93220339,5.517241379,3.319675801,1.075211864,2.641714066,0.946777317,1.233195021,2.770622407,Black_Mouldy
1.959432236,6.271186441,5.747126437,3.589169777,1.091186441,2.856170558,1.785487179,0.514615385,2.697128205,Black_Mouldy
1.808020967,5.593220339,5.747126437,3.322125746,0.973220339,2.64366367,1.227756233,0.614127424,2.415567867,Black_Mouldy
1.996170773,6.440677966,5.977011494,3.843964082,1.077574967,3.058929424,1.352845138,0.563793517,3.10607443,Black_Mouldy
2.041823557,6.610169492,6.206896552,4.02526003,1.064971751,3.203200155,1.331954023,0.745931034,2.407770115,Black_Mouldy
1.9854103,6.101694915,6.436781609,3.777815561,0.947941889,3.006290103,1.297728938,0.738363858,2.91990232,Black_Mouldy
1.8922585,6.101694915,5.517241379,3.451972844,1.105932203,2.746992708,1.191584554,0.73976032,2.542210386,Black_Mouldy
1.927150836,5.93220339,5.977011494,3.572020161,0.992503259,2.842523327,1.272722581,1.161858065,3.000774194,Black_Mouldy
1.745304366,5.593220339,5.057471264,2.937484343,1.105932203,2.337575767,1.252398754,1.450654206,2.832772586,Black_Mouldy
1.959432232,6.101694915,6.206896552,3.848863973,0.983050847,3.062828633,1.033229292,0.890852341,2.154189676,Black_Mouldy
1.697805367,5.423728814,5.287356322,2.915434836,1.025792189,2.320029327,1.497169811,0.758238994,2.47754717,Black_Mouldy
2.011388365,6.440677966,6.206896552,3.888063097,1.037664783,3.094022304,1.26608076,1.158052257,2.530261283,Black_Mouldy
1.384222356,4.237288136,4.367816092,1.835008985,0.970115968,1.460253753,1.100882353,1.415196078,3.177843137,Black_Mouldy
2.015845497,6.440677966,6.436781609,3.959111509,1.000605327,3.150560834,1.27,0.919485981,2.534579439,Black_Mouldy
1.907476114,5.93220339,5.977011494,3.628368901,0.992503259,2.88736423,1.047115629,1.553036849,2.595069886,Black_Mouldy
1.734543897,5.254237288,5.747126437,2.95463396,0.914237288,2.351222999,1.13048062,1.245581395,2.636155039,Black_Mouldy
1.797260512,5.423728814,5.977011494,3.236377663,0.907431551,2.575427514,1.072045455,1.378125,2.164772727,Black_Mouldy
1.823238565,5.718298443,5.775790587,3.204528374,0.990046013,2.550082655,1.370143266,1.174269341,2.264527221,Black_Mouldy
1.713022957,5.423728814,5.517241379,2.895835274,0.983050847,2.304432491,1.290063291,0.971139241,2.194493671,Black_Mouldy
1.8599771,5.762711864,5.747126437,3.253527279,1.002711864,2.589074745,1.497320169,1.267813822,2.061946403,Black_Mouldy
1.635088757,5.254237288,5.057471264,2.579792338,1.038906009,2.052933514,1.279787986,1.159293286,2.056607774,Black_Mouldy
1.974649832,6.271186441,5.977011494,3.696967368,1.049217731,2.941953155,1.1919202,1.540798005,2.770523691,Black_Mouldy
1.602807353,4.813380278,5.500453386,2.538143269,0.875087914,2.019790238,1.24028777,1.48352518,2.28705036,Black_Mouldy
1.994324559,6.779661017,5.747126437,3.738616437,1.179661017,2.975096431,1.401333333,1.296839506,2.101679012,Black_Mouldy
1.682587764,5.084745763,5.517241379,2.85663615,0.921610169,2.27323882,1.637628205,1.093076923,1.996730769,Black_Mouldy
1.655529311,5.299145299,5.057471264,2.68103024,1.047785548,2.133496076,1.052920962,3.495189003,2.110378007,Black_Pure
1.570796321,5.128205128,4.827586207,2.386710499,1.062271062,1.899283868,0.551846154,3.688923077,1.988692308,Black_Pure
1.677176818,5.299145299,5.057471264,2.740388843,1.047785548,2.180732151,1.081478992,4.454722689,2.181983193,Black_Pure
1.696967266,5.368991034,5.101687591,2.698343165,1.052395102,2.147273265,0.817201365,4.256518771,2.359931741,Black_Pure
1.514051267,4.786324786,4.597701149,2.260573468,1.041025641,1.798907208,0.515789474,3.861781377,2.272955466,Black_Pure
1.744745635,5.498058816,5.274847773,2.849212948,1.042316111,2.267331623,1.501812298,3.84802589,1.920323625,Black_Pure
1.640222201,5.299145299,4.827586207,2.68597679,1.097680098,2.137432416,0.483773585,4.261475129,2.262367067,Black_Pure
1.561829637,4.957264957,4.597701149,2.292726044,1.078205128,1.824493416,0.634820717,3.095059761,2.104143426,Black_Pure
1.577136734,4.615384615,5.287356322,2.510374256,0.872909699,1.997692359,1.021978022,3.42014652,2.14029304,Black_Pure
1.6555293,5.47008547,4.827586207,2.631564737,1.133089133,2.09413268,0.524685315,4.328741259,2.435874126,Black_Pure
1.712274361,5.062253981,5.86094197,2.856632774,0.863727027,2.273236133,1.248414239,4.134951456,2.178899676,Black_Pure
1.692483919,5.381901365,5.027339708,2.69586989,1.070526696,2.145305095,0.49774744,4.18552901,2.304573379,Black_Pure
1.655529298,5.641025641,4.597701149,2.611778536,1.226923077,2.078387321,0.858169014,2.584929577,1.829014085,Black_Pure
1.723098123,5.721390759,5.213122055,2.859106049,1.097497948,2.275204302,0.687625202,4.768982229,2.526462036,Black_Pure
1.723098128,5.299145299,5.747126437,3.056968059,0.922051282,2.432657887,0.504946889,4.323459788,2.228406677,Black_Pure
1.649188893,5.229763604,5.140386155,2.577152684,1.017387302,2.050832944,0.733857143,2.527714286,1.961928571,Black_Pure
1.53384171,5.062253981,4.688753576,2.20863469,1.079658783,1.757575642,0.678012422,1.914782609,1.937556936,Black_Pure
1.586103428,5.016591655,5.213122055,2.41144325,0.962300825,1.918965567,1.131961905,4.097295238,2.168228571,Black_Pure
1.644705548,5.47008547,4.827586207,2.629091462,1.133089133,2.09216451,0.487425569,3.791523643,2.240700525,Black_Pure
1.670836414,5.641025641,4.827586207,2.601885435,1.168498168,2.070514642,0.878586572,3.958939929,2.302756184,Black_Pure
1.70593395,5.641025641,5.057471264,2.678556964,1.115384615,2.131527906,0.67524957,3.663476764,2.108020654,Black_Pure
1.618574694,5.299145299,4.827586207,2.483168229,1.097680098,1.976042491,0.556746765,3.196968577,2.099001848,Black_Pure
1.681660157,5.47008547,5.057471264,2.817060372,1.081585082,2.241745416,0.634295082,3.960327869,2.239606557,Black_Pure
1.670836412,5.299145299,5.287356322,2.735442292,1.002229654,2.176795812,0.511096121,4.482428331,2.501989882,Black_Pure
1.686143508,5.198942334,5.820224782,2.8739457,0.893254561,2.287013321,0.542093398,4.092560386,2.196199678,Black_Pure
1.696967264,5.433235923,5.197893818,2.732969017,1.045276436,2.174827642,1.449983137,3.72148398,1.987521079,Black_Pure
1.651045962,5.128205128,5.057471264,2.718129366,1.013986014,2.163018623,0.544542373,3.722033898,2.265016949,Black_Pure
1.764536088,5.29776657,5.961518382,3.049548234,0.888660611,2.426753378,0.834893617,4.151854103,2.383221884,Black_Pure
1.649188904,5.47008547,5.057471264,2.745335393,1.081585082,2.184668491,0.738922559,3.904511785,2.089090909,Black_Pure
1.814171511,5.641025641,5.287356322,3.019868932,1.066889632,2.40313534,1.409343511,3.744610687,1.768183206,Black_Pure
1.681660159,5.299145299,5.287356322,2.822006922,1.002229654,2.245681755,1.026382979,3.642160393,1.995482815,Black_Pure
1.607750936,5.128205128,5.057471264,2.574679409,1.013986014,2.048864774,1.217960644,3.339677996,1.909838998,Black_Pure
1.612234278,4.4722993,6.014471472,2.567259584,0.743589744,2.042960265,1.074470377,3.174147217,1.929982047,Black_Pure
1.729438534,5.47008547,5.287356322,2.967930154,1.034559643,2.361803774,1.106853583,3.681495327,1.978816199,Black_Pure
1.586103428,5.128205128,5.057471264,2.451015653,1.013986014,1.950456283,0.760375235,3.929606004,2.368780488,Black_Pure
