perimeter,dimA,dimB,Roundness,AspectRatio,area,meanH,meanS,meanV,SeedType,,A,13.61499978,2.086118311,PerimeterDimA,,DimB,Roundness,AspectRatio,Area,MeanH,MeanS,MeanV
16.17485306,5.128205128,5.287356322,256.967362,0.969899666,20.44881294,1.009023091,4.124262877,6.285399645,WhitePure,,,,,1.227089214,1.246555796,1.353789291,1.348841669,-0.522952547,1.348841669,1.594583052,0.259771354,1.008430026
12.20549607,3.931623932,3.67816092,147.4684003,1.068910256,11.73516243,0.91081571,4.477945619,6.27734139,WhitePure,,,,,-0.675658568,-0.532662885,-0.74899876,-0.715570158,0.625479924,-0.715570158,0.161976029,0.902380364,0.999546758
13.83115066,4.444444444,4.137931034,188.1324443,1.074074074,14.97110423,0.856842105,4.656172249,5.851770335,WhitePure,,,,,0.103613912,0.229859407,-0.148202174,0.051079424,0.685375495,0.051079424,-0.625367699,1.226201756,0.530405278
13.09459611,4.102564103,4.137931034,168.5353147,0.991452991,13.41161421,0.958617021,3.95106383,6.947234043,WhitePure,,,,,-0.249460287,-0.278488788,-0.148202174,-0.318390254,-0.272953642,-0.318390254,0.859280996,-0.054915384,1.738023746
16.08549398,5.128205128,4.827586207,253.0479361,1.062271062,20.13691494,0.903956835,4.305179856,5.898920863,WhitePure,,,,,1.18425412,1.246555796,0.752992705,1.274947733,0.548471332,1.274947733,0.061921705,0.588480863,0.582383128
15.13320755,4.786324786,4.827586207,226.5918111,0.991452991,18.0316034,0.867094188,4.60256513,5.058116232,WhitePure,,,,,0.727766861,0.738207602,0.752992705,0.776163668,-0.272953642,0.776163668,-0.47581472,1.128802552,-0.344503991
16.91140763,5.299145299,5.517241379,276.5644917,0.960470085,22.00830297,0.918743802,4.085024793,5.900099174,WhitePure,,,,,1.580163423,1.500729894,1.654187584,1.718311347,-0.632327068,1.718311347,0.27762762,0.188479365,0.583682075
13.46287336,4.273504274,4.137931034,174.4144536,1.032763533,13.87946121,0.878251928,4.146529563,5.890488432,WhitePure,,,,,-0.072923198,-0.024314691,-0.148202174,-0.207549351,0.206210927,-0.207549351,-0.313050414,0.300227874,0.573087375
16.91140761,5.47008547,5.287356322,277.5443481,1.034559643,22.08627747,0.8984514,4.29752883,5.312092257,WhitePure,,,,,1.580163413,1.754903991,1.353789291,1.736784831,0.227044169,1.736784831,-0.018389201,0.574579653,-0.064525626
13.98369614,4.273504274,4.597701149,195.4813679,0.929487179,15.55591299,0.897921478,4.305127021,6.131547344,WhitePure,,,,,0.176737994,-0.024314691,0.452594412,0.189630553,-0.991700494,0.189630553,-0.026119479,0.588384866,0.83882616
13.72328477,4.273504274,4.367816092,191.3169778,0.978407557,15.22452136,0.915471698,4.435754717,5.814433962,WhitePure,,,,,0.051907409,-0.024314691,0.152196119,0.111118247,-0.424268768,0.111118247,0.229895582,0.825723375,0.489246367
16.49845082,5.299145299,5.057471264,263.5813933,1.047785548,20.97514082,0.852733564,4.527750865,4.883114187,WhitePure,,,,,1.382208777,1.500729894,1.053390998,1.473537685,0.380452588,1.473537685,-0.685301331,0.992871914,-0.537422935
15.6093508,4.957264957,4.827586207,242.514479,1.026862027,19.29868905,0.877673546,4.73043152,5.120825516,WhitePure,,,,,0.956010506,0.992381699,0.752992705,1.076357781,0.137758845,1.076357781,-0.321487603,1.36112402,-0.275374463
16.91140761,5.47008547,5.287356322,279.0141329,1.034559643,22.20323922,0.887672131,4.497901639,5.125114754,WhitePure,,,,,1.580163413,1.754903991,1.353789291,1.764495057,0.227044169,1.764495057,-0.175632543,0.938638616,-0.270646088
14.09156205,4.444444444,4.367816092,200.1356862,1.01754386,15.92629187,0.920993228,4.451918736,5.355485327,WhitePure,,,,,0.228444508,0.229859407,0.152196119,0.277379602,0.029676612,0.277379602,0.310441284,0.85509191,-0.016689926
